Date_reported,SUM of Cumulative_cases
2020-01-03,0
2020-01-04,1
2020-01-05,1
2020-01-06,4
2020-01-07,4
2020-01-08,4
2020-01-09,4
2020-01-10,4
2020-01-11,45
2020-01-12,45
2020-01-13,50
2020-01-14,51
2020-01-15,51
2020-01-16,51
2020-01-17,56
2020-01-18,73
2020-01-19,137
2020-01-20,219
2020-01-21,312
2020-01-22,466
2020-01-23,607
2020-01-24,886
2020-01-25,1363
2020-01-26,2065
2020-01-27,2858
2020-01-28,4645
2020-01-29,6129
2020-01-30,7900
2020-01-31,9910
2020-02-01,12029
2020-02-02,14626
2020-02-03,17459
2020-02-04,20717
2020-02-05,24636
2020-02-06,28356
2020-02-07,31557
2020-02-08,34971
2020-02-09,37639
2020-02-10,40698
2020-02-11,43179
2020-02-12,45246
2020-02-13,60459
2020-02-14,64531
2020-02-15,67263
2020-02-16,69353
2020-02-17,71514
2020-02-18,73507
2020-02-19,75367
2020-02-20,75853
2020-02-21,76900
2020-02-22,78016
2020-02-23,78982
2020-02-24,79569
2020-02-25,80398
2020-02-26,81345
2020-02-27,82536
2020-02-28,83998
2020-02-29,85850
2020-03-01,87423
2020-03-02,89898
2020-03-03,92116
2020-03-04,94196
2020-03-05,96632
2020-03-06,100329
2020-03-07,103945
2020-03-08,107512
2020-03-09,111117
2020-03-10,116223
2020-03-11,121323
2020-03-12,128087
2020-03-13,137773
2020-03-14,147896
2020-03-15,159128
2020-03-16,170568
2020-03-17,185332
2020-03-18,203511
2020-03-19,224360
2020-03-20,254107
2020-03-21,278477
2020-03-22,301362
2020-03-23,342265
2020-03-24,395804
2020-03-25,426755
2020-03-26,483672
2020-03-27,525652
2020-03-28,588805
2020-03-29,651096
2020-03-30,709592
2020-03-31,768455
2020-04-01,843660
2020-04-02,916732
2020-04-03,992715
2020-04-04,1073079
2020-04-05,1154098
2020-04-06,1229153
2020-04-07,1298268
2020-04-08,1373971
2020-04-09,1457580
2020-04-10,1543336
2020-04-11,1633992
2020-04-12,1713537
2020-04-13,1788012
2020-04-14,1858766
2020-04-15,1931620
2020-04-16,2007442
2020-04-17,2089975
2020-04-18,2174137
2020-04-19,2254478
2020-04-20,2327339
2020-04-21,2403773
2020-04-22,2477123
2020-04-23,2549751
2020-04-24,2631234
2020-04-25,2725872
2020-04-26,2811810
2020-04-27,2891058
2020-04-28,2964551
2020-04-29,3031462
2020-04-30,3105481
2020-05-01,3190866
2020-05-02,3278287
2020-05-03,3361832
2020-05-04,3446761
2020-05-05,3528703
2020-05-06,3598862
2020-05-07,3680362
2020-05-08,3767096
2020-05-09,3860698
2020-05-10,3948483
2020-05-11,4034862
2020-05-12,4112860
